Address,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSES FORCIBLE,SEX OFFENSES NON FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
TURK ST / JONES ST,0,37,0,0,1,0,3,169,0,0,0,1,4,6,0,0,25,2,0,3,35,136,0,0,0,21,0,1,1,0,5,0,13,0,0,9,9,57,9
FILLMORE ST / GEARY BL,0,20,0,1,0,0,0,1,3,0,0,0,1,9,0,0,111,1,0,3,47,16,0,0,0,9,0,2,1,0,0,0,4,0,0,8,5,2,2
200 Block of WILLIAMS AV,0,39,0,0,2,0,2,6,4,0,1,0,4,7,0,8,27,0,0,21,254,68,0,1,1,5,0,15,1,0,1,1,56,0,2,18,20,35,8
0 Block of MENDELL ST,0,2,0,0,11,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,3,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
EDDY ST / JONES ST,0,23,0,0,0,0,1,48,1,0,0,0,1,0,0,1,18,1,0,2,37,93,0,0,0,6,0,2,2,0,0,0,5,0,0,3,0,29,2
GODEUS ST / MISSION ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MENDELL ST / HUDSON AV,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,1
100 Block of JONES ST,0,65,0,0,10,1,0,222,1,0,0,2,0,9,0,2,30,2,0,9,80,120,0,0,3,14,0,3,4,0,1,0,16,0,6,12,5,60,9
200 Block of EVELYN WY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1600 Block of VALENCIA ST,0,17,0,0,6,0,0,1,0,0,0,0,1,4,0,0,16,0,0,0,11,11,0,0,1,8,0,1,0,0,0,0,4,0,0,7,16,4,2
FILLMORE ST / LOMBARD ST,0,12,0,0,0,0,1,0,1,0,0,0,1,2,0,0,13,0,0,1,9,10,0,0,0,6,0,0,0,0,0,0,2,0,0,6,0,3,0
300 Block of OFARRELL ST,0,59,0,0,25,3,2,23,14,12,0,0,9,36,0,3,152,3,2,16,161,62,0,3,5,8,0,10,8,0,6,1,28,0,42,10,145,34,4
2000 Block of BUSH ST,0,2,0,0,7,0,0,0,1,0,0,1,0,2,0,0,14,0,0,3,2,4,0,0,0,1,0,0,0,1,1,0,1,0,1,3,8,1,1
500 Block of COLLEGE AV,1,2,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
19TH AV / SANTIAGO ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,7,0,0,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0
2000 Block of 41ST AV,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1300 Block of WEBSTER ST,0,80,0,0,45,2,0,13,3,1,0,0,25,19,0,2,471,0,0,4,66,64,0,0,7,40,0,5,0,0,5,0,14,0,10,28,22,65,3
400 Block of CASTRO ST,1,147,1,0,20,11,1,46,29,3,0,1,16,32,0,1,212,5,0,13,199,94,0,0,0,41,0,5,5,0,10,1,37,0,14,28,22,73,9
1500 Block of FILLMORE ST,0,25,5,0,18,1,1,0,3,0,0,0,36,11,0,0,56,0,0,0,36,13,0,1,1,10,0,1,0,0,3,0,14,0,3,14,0,8,0
1600 Block of WEBSTER ST,0,11,0,0,9,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,2,5,0,0,0,0,1,2,0,0,0,0,2,0,0,8,2,1,3
KING ST / 3RD ST,0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14,0,0,0,12,13,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,2,1
VALLEJO ST / BUCHANAN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CALIFORNIA ST / BUCHANAN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0
1400 Block of HOLLOWAY AV,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1
0 Block of WINDING WY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0
700 Block of MARKET ST,1,122,1,0,114,3,1,42,3,6,0,0,55,43,0,2,862,3,7,22,182,183,0,3,1,80,0,8,7,0,17,0,67,0,37,30,9,159,10
1600 Block of MARKET ST,0,64,0,0,24,2,1,10,5,0,0,0,2,9,0,1,88,2,0,10,70,49,0,0,0,9,0,5,1,0,0,0,9,0,0,26,8,18,2
0 Block of STOCKTON ST,0,38,0,0,51,5,0,33,0,2,0,1,12,13,1,0,410,0,0,4,31,68,0,0,0,11,0,3,2,0,3,0,17,0,31,20,1,41,1
300 Block of WILLIAMS AV,0,42,1,0,8,1,0,9,0,0,0,0,8,5,0,1,124,0,0,5,42,32,0,0,1,14,0,4,0,0,1,0,8,0,2,11,9,19,9
800 Block of LEAVENWORTH ST,0,23,0,0,8,1,0,4,0,0,0,0,0,1,0,2,10,0,0,6,18,11,0,0,0,2,0,4,5,0,0,1,5,0,4,9,6,3,0
0 Block of CRESCENT AV,0,5,0,0,5,0,0,1,1,0,0,0,1,0,0,0,4,0,0,1,5,4,0,0,1,3,0,3,1,0,0,0,4,0,0,4,7,2,0
LINCOLN WY / 14TH AV,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SUTTER ST / POWELL ST,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,20,0,0,0,22,26,0,0,0,0,0,1,0,0,1,0,3,0,1,1,2,8,0
1500 Block of HAIGHT ST,0,40,0,0,11,7,0,34,15,0,0,0,2,7,0,0,64,7,0,1,85,53,0,0,1,2,0,2,1,0,3,1,12,0,1,25,3,48,9
23RD ST / WISCONSIN ST,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,1,0,12,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,2,1
0 Block of 3RD ST,2,37,0,0,23,2,1,2,2,2,0,0,5,12,0,2,175,0,0,9,56,23,0,0,0,7,0,2,6,0,2,0,11,0,8,10,3,4,2
500 Block of BRANNAN ST,0,8,0,0,8,0,0,3,0,0,0,0,11,5,0,0,128,0,0,1,12,17,0,0,3,7,0,2,1,0,2,0,3,0,1,28,10,1,0
OTIS ST / GOUGH ST,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0
MISSION ST / 2ND ST,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18,0,2,0,9,19,0,0,0,3,0,0,1,0,0,0,0,0,0,1,6,1,1
GEARY ST / VANNESS AV,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,45,0,1,0,9,7,0,1,0,3,0,0,0,0,1,0,4,0,0,2,6,2,3
HARRISON ST / 10TH ST,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,72,0,0,1,7,29,0,0,0,0,0,2,0,0,0,0,0,0,0,8,7,0,0
GEARY BL / LAGUNA ST,0,8,0,0,6,0,3,0,0,0,0,0,0,5,0,0,284,0,0,5,15,32,0,0,1,16,0,0,0,0,3,0,5,0,0,23,9,4,0
0 Block of SANSOME ST,1,5,0,0,1,0,0,3,0,0,0,0,0,1,1,0,17,0,0,0,6,11,0,0,0,0,0,0,1,0,0,0,3,0,1,2,3,2,0
900 Block of BUSH ST,0,19,0,0,22,0,0,3,1,0,0,0,1,12,0,0,32,0,0,6,25,20,0,0,0,3,0,3,1,0,3,1,10,0,2,11,1,7,1
0 Block of MARKET ST,1,17,1,0,10,0,0,6,2,2,0,0,10,32,0,0,94,0,1,1,54,21,0,0,1,7,0,3,1,0,1,0,20,0,2,9,2,4,2
300 Block of 10TH ST,0,10,0,0,16,0,0,9,0,1,0,0,0,5,0,0,39,0,0,0,7,18,0,0,0,0,0,2,1,0,7,0,9,0,0,10,19,5,0
19TH AV / WINSTON DR,0,16,0,0,0,0,7,3,0,0,0,0,1,1,0,0,33,0,1,2,29,60,0,0,0,13,0,4,0,0,1,0,5,0,0,11,9,7,1
400 Block of HYDE ST,1,22,0,1,14,1,0,56,0,0,0,0,1,7,0,0,39,1,0,2,14,45,0,4,0,10,0,2,0,0,2,0,12,0,6,16,3,21,1
400 Block of BRANNAN ST,0,12,0,0,21,0,0,0,2,0,0,0,12,6,0,0,113,0,0,0,13,12,0,0,0,6,0,2,1,0,2,0,6,0,0,21,5,5,2
2000 Block of SUTTER ST,0,8,0,0,8,0,0,0,1,0,0,0,4,0,0,0,33,0,0,0,3,4,0,0,0,3,0,1,0,0,0,0,2,0,1,5,6,1,0
100 Block of PAUL AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26TH ST / GUERRERO ST,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,7,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0
STOCKTON ST / SUTTER ST,0,15,0,0,0,0,1,1,0,0,0,0,1,9,0,0,154,0,0,1,21,23,0,0,0,7,0,2,0,0,1,0,4,0,0,7,16,3,1
1900 Block of MISSION ST,2,168,0,2,13,3,0,168,8,1,0,1,5,8,0,2,68,7,0,14,78,146,0,0,3,31,2,18,7,0,6,0,31,0,10,37,6,90,26
4600 Block of 18TH ST,1,4,0,0,10,0,0,0,1,0,0,0,0,2,0,0,8,0,0,0,10,5,0,0,0,3,0,0,0,0,0,0,2,0,0,1,1,2,0
0 Block of FREELON ST,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
17TH ST / TREAT AV,0,1,0,0,0,19,0,9,0,0,0,0,0,0,0,0,4,0,3,0,0,24,0,55,0,1,0,0,1,0,0,0,0,0,1,1,3,12,1
PACIFIC AV / SANSOME ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1
1900 Block of POLK ST,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,16,0,0,0,5,6,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,5,1
200 Block of GOLDEN GATE AV,0,149,1,0,16,23,0,185,3,0,0,5,8,5,0,4,105,0,2,15,76,139,0,0,1,9,0,18,6,0,2,0,36,0,19,15,10,85,13
3100 Block of HARRISON ST,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,3,0,0,2,5,0,2
1000 Block of SCOTT ST,0,3,0,0,3,0,0,1,0,0,0,1,0,0,0,0,5,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0
1000 Block of POINTLOBOS AV,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,261,0,0,4,14,3,0,0,1,1,0,0,0,0,1,0,2,0,0,17,5,1,0
1300 Block of FELTON ST,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,2
PINE ST / GRANT AV,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,3,0,0
600 Block of VANNESS AV,1,21,0,0,5,1,0,8,1,0,0,0,4,14,0,2,57,0,0,3,39,24,0,0,0,8,0,5,0,0,2,1,9,0,1,6,7,3,0
400 Block of EDDY ST,3,227,1,1,28,10,2,149,7,2,0,1,10,14,0,5,74,0,3,26,200,130,0,0,3,67,0,25,15,0,2,1,57,0,21,26,7,110,18
WESTPORTAL AV / VICENTE ST,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
GREENWICH ST / LEAVENWORTH ST,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
BAY ST / HYDE ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0
SAN BRUNO AV / BURROWS ST,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,3,24,0,0,0,3,1,0,0,0,0,0,1,0,0,1,5,3,0
25TH ST / SHOTWELL ST,0,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0 Block of 6TH ST,10,461,1,3,66,7,2,518,29,1,1,0,21,30,1,19,196,20,0,48,368,372,0,0,3,70,1,30,27,0,23,4,100,0,23,70,11,303,44
ILLINOIS ST / 20TH ST,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
CASTRO ST / 16TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
COLE ST / FULTON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LEAVENWORTH ST / BAY ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0
1200 Block of MARKET ST,2,118,2,0,67,1,3,57,9,5,1,1,93,44,0,5,178,2,0,13,164,95,0,1,0,39,0,10,5,0,25,0,46,0,11,29,7,72,8
400 Block of GREEN ST,0,6,0,0,3,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,12,2,0,0,0,2,1,0,0,0,0,0,2,0,0,4,0,3,0
0 Block of DANIELBURNHAM CT,1,2,0,0,9,1,0,2,0,0,0,0,1,4,0,0,37,0,0,2,9,5,0,0,0,4,0,0,0,0,0,0,2,0,1,2,1,0,0
0 Block of WHITFIELD CT,1,33,0,1,2,0,0,3,0,0,0,1,1,0,0,2,1,0,0,3,6,7,0,0,2,1,0,8,1,0,1,0,4,0,1,5,5,5,1
700 Block of GEARY ST,1,64,1,0,30,2,0,47,1,0,2,0,5,8,0,2,48,2,0,13,51,57,0,0,5,14,0,8,3,0,5,0,10,0,4,28,7,26,4
500 Block of JOHNFKENNEDY DR,5,68,0,0,10,10,4,244,4,1,0,0,4,17,0,1,690,2,1,19,230,188,0,1,0,24,0,3,14,1,10,0,44,0,7,48,29,130,14
1400 Block of STOCKTON ST,0,9,1,0,6,1,0,2,0,0,0,0,8,33,0,0,16,0,1,3,15,13,0,0,0,1,0,8,0,0,1,0,4,0,0,12,0,4,1
SAN JOSE AV / 29TH ST,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,3,0
EDDY ST / LEAVENWORTH ST,0,44,0,0,0,1,0,70,2,0,0,0,1,0,0,0,20,0,1,0,33,78,0,0,1,20,0,5,0,0,1,0,7,0,0,0,13,41,7
1300 Block of MISSION ST,1,34,1,0,15,2,0,12,2,1,0,0,4,5,0,0,46,1,0,13,45,39,0,0,0,4,2,9,3,0,4,0,16,0,2,16,4,12,2
2300 Block of MISSION ST,0,62,2,0,31,1,0,24,4,3,0,0,26,10,0,0,97,4,0,9,75,63,0,1,0,19,0,9,2,0,9,0,20,0,5,25,7,20,5
CRESCENT AV / ANDOVER ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,1,0,0,2,2,3,0
11TH ST / HARRISON ST,0,12,0,0,0,1,0,0,1,0,0,0,0,3,0,0,127,0,0,0,20,12,0,0,0,1,0,0,1,0,1,0,7,0,0,13,15,1,0
23RD ST / VERMONT ST,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,8,18,0,1,0,5,0,1,0,0,0,0,1,0,0,2,8,2,0
100 Block of EDDY ST,1,314,1,1,37,22,0,223,37,1,0,2,10,21,0,8,116,17,3,14,230,218,0,0,1,35,1,11,9,0,4,0,84,0,23,33,14,167,22
600 Block of JONES ST,0,32,0,0,24,3,0,18,1,1,0,0,2,1,0,1,34,0,0,9,25,18,0,0,1,3,0,4,0,0,1,0,9,0,2,7,6,9,1
6TH ST / NATOMA ST,0,15,0,0,0,1,0,39,3,0,0,0,1,1,0,0,10,2,0,1,5,41,0,0,2,10,0,2,0,0,0,0,5,0,0,2,8,28,2
1100 Block of FILLMORE ST,2,66,0,0,3,7,2,24,9,3,0,0,7,16,0,5,127,1,0,32,293,79,1,0,0,11,1,10,2,0,3,0,47,0,10,30,5,45,8
500 Block of TOMPKINS AV,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,5,0,0,0,0,0,1,1,0,0,0,5,0,0,2,1,0,1
0 Block of BROOK ST,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
500 Block of GROVE ST,0,12,0,0,9,1,0,1,0,0,0,0,1,1,0,1,15,0,0,24,12,15,0,0,0,3,0,2,1,0,2,0,6,0,2,3,5,1,1
500 Block of NORTHPOINT ST,0,5,0,0,6,0,0,2,0,0,0,0,0,4,0,0,46,0,0,2,26,1,0,5,0,2,0,0,0,1,0,0,4,0,1,6,5,0,0
400 Block of 39TH AV,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,7,2,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,1,0
LEAVENWORTH ST / EDDY ST,0,30,0,0,0,0,2,40,2,0,0,0,0,0,0,0,14,0,0,2,18,56,0,0,0,13,0,2,1,0,3,0,4,0,0,5,6,17,2
16TH ST / SANCHEZ ST,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,1,0
JONES ST / GEARY ST,0,3,0,0,0,0,0,8,0,0,0,0,0,1,0,0,21,0,0,1,15,13,0,0,0,8,0,0,0,0,0,0,3,0,0,5,5,5,0
4600 Block of MISSION ST,0,42,2,1,19,1,1,21,1,0,2,0,33,7,0,3,55,1,0,7,15,59,0,0,1,33,1,5,3,0,8,0,19,0,5,16,10,19,3
400 Block of CORTLAND AV,0,18,0,0,8,1,1,0,2,0,0,0,15,6,0,0,35,0,0,1,17,7,0,0,0,3,0,2,0,0,2,0,6,0,2,7,1,2,1
100 Block of STEINER ST,0,2,0,0,7,0,0,2,0,0,0,0,0,3,0,0,5,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,3,0,1,1,8,1,0
CALIFORNIA ST / STOCKTON ST,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,0
4TH ST / MARKET ST,0,18,0,0,0,2,0,0,1,0,0,0,1,11,0,0,82,0,0,4,88,21,0,1,0,18,0,1,1,0,2,0,2,0,0,2,4,6,1
2100 Block of FULTON ST,0,4,0,0,1,0,1,2,0,0,0,0,2,3,0,0,32,0,0,3,19,6,0,0,0,1,0,3,0,0,1,0,1,0,8,1,4,7,0
HAWTHORNE ST / HARRISON ST,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1
STOCKTON ST / BUSH ST,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,1,2,0,0,0,9,0,0,0,0,1,2,0,0,0,2,4,3,0
0 Block of DOLORES ST,0,5,0,0,6,0,0,7,0,0,0,0,2,1,0,0,14,0,0,0,3,8,0,0,0,2,0,1,0,0,2,0,5,0,1,4,3,2,0
600 Block of NAPLES ST,0,8,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,4,5,0,0,0,1,0,2,1,0,0,0,1,0,0,1,7,2,2
SUTTER ST / WEBSTER ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,4,4,1,0
800 Block of BRYANT ST,41,1926,12,12,384,76,41,786,100,26,13,9,614,942,4,97,6144,29,15,777,5583,3019,1,55,9,591,36,312,296,12,93,16,1153,0,150,1155,128,1719,156
100 Block of PERSIA AV,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,140,6,2,0,0,0,2,10,2,0,0,0,0,3,0,0,2,4,1,0
INDUSTRIAL ST / BARNEVELD AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0 Block of TIFFANY AV,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9,0,0,4,7,1,0,0,1,2,0,2,0,0,0,0,3,0,0,5,7,2,1
0 Block of MAIN ST,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,2,1,0,0,0,0,1,0,1,0,0,1,3,0,0
200 Block of UPPER TR,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2200 Block of LEAVENWORTH ST,0,5,0,0,4,1,0,0,0,0,0,0,1,3,0,0,27,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,3,0,0,3,3,1,0
1000 Block of GREAT HY,0,10,0,0,4,0,1,4,1,0,0,0,0,5,0,0,133,0,0,3,16,10,0,0,3,2,0,0,2,0,0,0,4,0,1,7,15,2,3
100 Block of KISKA RD,4,74,0,0,38,1,0,7,0,0,0,0,2,6,0,3,21,0,0,14,22,37,0,0,1,14,1,13,2,0,1,1,20,0,6,83,21,21,10
900 Block of ROCKDALE DR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0
DELVALE AV / ENCLINE CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400 Block of CALIFORNIA ST,0,5,0,0,12,0,0,0,0,1,0,1,0,1,0,0,74,0,0,0,10,7,0,2,0,1,0,0,0,0,0,0,3,0,0,7,4,2,0
400 Block of EDINBURGH ST,0,8,0,0,3,1,0,0,0,0,0,0,1,0,0,0,3,0,0,9,9,13,0,0,0,2,0,2,0,0,0,0,3,0,0,3,8,0,1
0 Block of UNITEDNATIONS PZ,0,175,0,0,0,16,0,447,16,0,0,1,19,20,0,3,103,12,4,12,199,294,0,0,1,76,0,7,8,0,40,0,52,0,16,11,1,225,30
7TH ST / MARKET ST,0,87,0,1,1,0,0,104,6,0,1,0,7,16,0,3,89,1,0,10,134,157,0,0,0,49,0,4,0,0,30,0,36,0,0,5,5,103,10
800 Block of BAY ST,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1700 Block of MCALLISTER ST,0,32,0,0,18,0,0,3,1,0,0,0,3,1,0,2,19,0,0,3,30,24,0,0,1,1,0,5,5,0,0,0,5,0,1,6,11,7,1
HYDE ST / LOMBARD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0
